Saint	Date of birth	Date of death	Date of	Tradition				
Osyth		653				8	Yes	2
Ouen (Dado)		686				8	Yes	2
Oliver Plunkett	1 Nov 1625	21 Jul 1681	12-Oct-75				Yes	1
Peter and Fevronia of Murom	c. 1167 (Peter of Murom)	25 Jun 1228	1547			Yes	Yes	2
	c. 1175 (Fevronia of Murom)							
Pope Paul VI	26 Sep 1897	06-Aug-78	14-Oct-18				Yes	1
Paraskeva the Younger		11th century				Yes		1
Philomena	10 Jan 291	10 Aug 304	13 Jan 1837		Yes		Yes	2
Pope Paschal I		824					Yes	1
Paschal Baylon		1592					Yes	1
Patrick		493		Yes	Yes	8	Yes	4
Pope Paul I		28 Jun 767					Yes	1
Paul Chong Hasang		1839					Yes	1
Paul Miki		1597					Yes	1
Paul of the Cross		1775					Yes	1
Paulina	16 Dec 1865	09-Jul-42	19-May-02				Yes	1
Paulinus of York		584		Yes		8	Yes	3
Pavel of Taganrog	21 Nov 1792	23 Mar 1879	20-Jun-99			Yes		1
Pedro Calungsod	21 Jul 1654	2 Apr 1672	21-Oct-12				Yes	1
Peregrine Laziosi	1260	1345	1726				Yes	1
Petar I Petrovi?-Njegoš	1748	31 Oct 1830				Yes		1
Peter Canisius		1597					Yes	1
Peter Chanel		1841					Yes	1
Peter Claver		1654					Yes	1
Peter Damian	c. 1007	1072-1073	27 Sep 1828				Yes	1
Peter Fourier	30 Nov 1565	9 Dec 1640	1897				Yes	1
Peter Igneus	c. 1000	11 Nov 1089	3 Mar 1673				Yes	1
Peter Julian Eymard		1868					Yes	1
Peter of Alcantara	1499	18 Oct 1562	28 Apr 1669			Yes		1
Peter of Capitolias		715				Yes	Yes	2
Peter of Moscow	c. 1260	20 Dec 1326				Yes		1
Peter of Pappacarbone	11th century	4 Mar 1123	21 Dec 1893				Yes	1
Peter of Saint Joseph de Betancur	1626	1667	2002				Yes	1
Peter the Aleut		c. 1815	1980			Yes		1
Peter the Patrician	797-802	1 Jul 854				Yes		1
Peter the Wonderworker	9th century	10th century				Yes	Yes	2
Petroc		564		Yes		8	Yes	3
Petrus Canisius		1597					Yes	1
Philip of Agira		c. 5th century				8	Yes	2
Philip Benizi de Damiani		1285					Yes	1
Philothei		1589				Yes		1
Photios of Constantinople		893				Yes		1
Pierre Borie		1838					Yes	1
Pio of Pietrelcina	25 May 1887	23-Sep-68	16-Jun-02				Yes	1
Piran		6th century				8	Yes	2
Pitirim of Porphyry						Yes		1
Pope Pius I		154					Yes	1
Pope Pius V	17 Jan 1504	1 May 1572					Yes	1
Pope Pius X		20-Aug-14	29-May-54				Yes	1
Praejectus		676				8	Yes	2
Prætextatus (Bishop of Rouen)		586					Yes	1
Prokopios Lazaridis of Iconium	1859	1923	1992			Yes		1
Pyr		6th century					Yes	1
Quinidius		579					Yes	1
Quintian		c. 525					Yes	1
Rabanus Maurus		856					Yes	1
Rainerius		c. 1160					Yes	1
Ralph Sherwin	25 Oct 1550	1 Dec 1581	25-Oct-70				Yes	1
Raphael of Lesvos		1463				Yes		1
Rafqa Pietra Choboq Ar-Rayès	29 Jun 1832	23-Mar-14	10-Jun-01				Yes	1
Raphael Kalinowski		1907					Yes	1
Raphael of Brooklyn		1915				Yes		1
Raymond of Penafort		1275					Yes	1
"Remigius of Reims (or Remy, Remi)"		533				8	Yes	2
Remigius of Rouen		771					Yes	1
René Goupil		1642					Yes	1
Richard of Chichester		1253		Yes			Yes	2
Rictrude		688					Yes	1
Rimbert of Turholt		888					Yes	1
Rita of Cascia		1457					Yes	1
Robert Bellarmine		1621					Yes	1
Roch		1376		Yes			Yes	2
Roger of Cannae		1129					Yes	1
Rognvald Kali Kolsson		1158					Yes	1
Romuald		1027[4]				8	Yes	2
Roque González de Santa Cruz		1628					Yes	1
Rosalia		1166					Yes	1
Rose of Lima		1617					Yes	1
Rose Venerini		1728					Yes	1
Saturius of Soria	493	568	1628				Yes	1
Sabbas the Sanctified		531-532				Yes	Yes	2
Sadalberga		665					Yes	1
Saethryth		7th century				Yes		1
Salonius		5th century					Yes	1
Salvius		c. 580					Yes	1
Samson of Dol		6th century					Yes	1
Sava of Serbia		1236			Yes	Yes	Yes[5]	3
Scholastica		543				8	Yes	2
Seaxburh of Ely		c. 699		Yes			Yes	2
Seraphina		1253				Yes		1
Seraphim of Sarov	30 Jul 1754	14 Jan 1833	19-Jul-03			Yes		1
Serapion of Nitria	c. third century	c. 366				Yes	Yes	2
"Sergei, Grand Duke of Russia"	1869	1918	01-Nov-81			Yes		1
Pope Sergius I		701			Yes	8	Yes	3
Sergius of Valaam		10th-14th century				Yes		1
Sergius of Radonezh		1392		Yes[6]		Yes	Yes	3
Severinus of Noricum		482					Yes	1
Severus of Vienne		455					Yes	
Sigeberht of East Anglia		634		Yes		Yes	Yes	3
Pope Silverius		537			Yes	8	Yes	3
Simeon Mirotocivi		1199				Yes		1
Simeon Stylites		459			Yes	Yes	Yes	3
Simon the Tanner		late 10th century			Yes			1
Pope Simplicius		483				8	Yes	2
Sophia of Slutsk		1612				Yes		1
Sophronius of Jerusalem		638				Yes		1
Stephen of Hungary		1038				Yes (from 2000)	Yes	2
Stephen of Piperi		1697				Yes		1
Stephen III of Moldavia	1433–1440	2 Jul 1504	12-Jul-06			Yes		1
Stylianos of Paphlagonia		c. 6th or 7th century				Yes		1
Swithun of Winchester		862		Yes		8	Yes	3
Sylvester Gozzolini		26 Nov 1267					Yes	1
Symeon Metaphrastes		10th century			Yes	Yes		2
Symeon the New Theologian		1022				Yes		1
Pope Symmachus		514			Yes	8	Yes	3
Tekle Haymanot		c. 1313			Yes			1
Tarasios of Constantinople		806				Yes	Yes	2
Tathan		c. 6th century						0
Tatiana of Russia	10 Jun 1897	17-Jul-18	14-Aug-00			Yes		1
Teresa of Avila		1582		Yes			Yes	2
Teresa de los Andes	13-Jul-00	12-Apr-20	21-Mar-93				Yes	1
(Mother) Teresa of Calcutta	26-Aug-10	05-Sep-97	04-Sep-16				Yes	1
Théodore Guérin	2 Oct 1798	14 May 1856	15-Oct-06				Yes	1
Theodore Romzha	14 Apr 1911	31 Oct 1947	27-Jun-01				Yes	1
Theodore the Studite		826			Yes	Yes	Yes	3
Theodosius of Kiev		1000 to 1100				Yes		1
Theophan the Recluse		1894				Yes		1
Theophanes the Confessor		810s				Yes	Yes	2
Thérèse of Lisieux	1873	1897	17-May-25				Yes	1
Thomas Aquinas		1274		Yes			Yes	2
Thomas Becket		1170		Yes			Yes	2
Thomas More	7 Feb 1478	6 Jul 1535	19-May-35	Yes4			Yes	2
Thomas Ryzkov	c. late 1700s	c. 1800s				Yes		1
Thomas of Tolentino	c. 1255	1321					Yes	1
Thorlak Thorhallsson (Þorlákur Þórhallsson)		23 Dec 1193					Yes	1
Tikhon of Moscow	31 Jan 1865	07-Apr-25	01-Nov-81			Yes		1
Turibius of Mongrovejo		1606					Yes	1
Tydfil		c. 480		Yes			Yes	2
Ubald		1160					Yes	1
Ulrich of Augsburg	890	4 Jul 973	4 Jul 993			8	Yes	2
Urbicius		c. 805					Yes	1
Ursicinus of Saint-Ursanne		625					Yes	1
Ursmar		713					Yes	1
Ursula Julia Ledochowska	17 Apr 1865	29-May-39	18-May-03				Yes	1
Varghese Payyappilly Palakkappilly	8 Aug 1876	05-Oct-29	Nov-12				Yes	1
Varvara Yakovleva		1918				Yes7		0.5
Venantius Fortunatus		c. 600 or 609					Yes	1
Veranus of Cavaillon (Véran)		590					Yes	1
Veronica of Milan		13 Jan 1497					Yes	1
Vicelinus		1154					Yes	1
Vicente Liem de la Paz	1732	7 Nov 1773	19-Jun-88				Yes	1
Vincent Ferrer		1419					Yes	1
Vincent de Paul		1660		Yes			Yes	2
Vergilius of Salzburg		784					Yes	1
Virginia Centurione Bracelli		1651					Yes	1
Pope Vitalian		672				8	Yes	2
Vietnamese Martyrs	one of the oldest was born in 1732	from 1745 to 1862	19-Jun-88				Yes	1
Vitalis of Assisi		1370					Yes	1
Vitonus		525					Yes	1
Vladimir of Kiev		1015		Yes		Yes	Yes	3
Vladimir Paley	1896	1918				Yes		1
Waningus		683					Yes	1
Wenceslaus		935					Yes	1
Werburgh		699				8	Yes	2
Wiborada		926					Yes	1
Wilfrid of Ripon		709		Yes		8	Yes	3
Willehad of Bremen		789		Yes			Yes	2
William of Perth		1201					Yes	1
William of York		1154					Yes	1
Willibrord	c. 658	7 Nov 739		Yes	Yes	8	Yes	4
Wiro of Roermond		c. 7th century					Yes	1
Wolfeius		c. 11th century		Yes	Yes	8	Yes	4
Wolfgang of Regensburg		994				8	Yes	2
Wolfhelm of Brauweiler		1091					Yes	1
Wulfram of Sens		703		Yes			Yes	2
Xenia the Righteous of Rome		5th century				Yes		1
Xenia of Saint Petersburg		c. 1803				Yes7		0.5
Xenophon of Robika		1262				Yes		1
Yaropolk Izyaslavich		1087				Yes		1
Yegor Chekryakovsky	4 Apr 1855	Apr-28	2000			Yes		1
Yrieix		591				8	Yes	2
Pope Zachary		752				Yes	Yes	2
Zdislava Berka		1252					Yes	1
Zita		1272					Yes	1
Zofia Szydlowiecka		1551					Yes	1
Zosimas of Palestine		560			Yes	Yes		2
Zygmunt Gorazdowski	1 Nov 1845	01-Jan-20	23-Oct-05				Yes	1
								
Notes on saints list								
